가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude,total review,good service,bad service,good traffic,bad traffic,good cost,bad cost,good taste,bad taste,good_senti,bad_senti
하이엔드 제주,카페,-,-,3.2,제주특별자치도 제주시 애월읍 애월리 2550-2,33.4637734,126.3092905,31.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,2.0
놀맨,식당,한식,"문어라면, 해물라면",3.2,제주특별자치도 제주시 애월읍 애월리 2530,33.4624642,126.3102678,30.0,0.0,100.0,0.0,100.0,50.0,50.0,33.0,67.0,1.0,4.0
춘미향,식당,한식,"벵에돔, 두루치기",3.2,제주특별자치도 서귀포시 안덕면 사계리 2674-1,33.2313355,126.2964001,33.0,0.0,0.0,0.0,0.0,0.0,100.0,67.0,33.0,1.0,2.0
산도롱 맨도롱,식당,한식,"갈비국수, 고기국수",3.1,제주특별자치도 제주시 구좌읍 종달리 484-1,33.4921891,126.9097197,38.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,1.0,1.0
공천포식당,식당,한식,"한치물회, 물회",3.1,제주도 서귀포시 남원읍 신례리 27-5,33.2664055,126.6426731,20.0,0.0,0.0,0.0,0.0,67.0,33.0,80.0,20.0,2.0,1.0
마농치킨,식당,한식,마늘치킨,3.1,제주특별자치도 서귀포시 서귀동 278-10,33.2504227,126.56292659999998,41.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,67.0,2.0,1.0
협재해녀의집,식당,한식,해물라면,3.1,제주특별자치도 제주시 한림읍 협재리 1459-2,33.3988321,126.2440116,38.0,0.0,100.0,0.0,0.0,0.0,100.0,67.0,33.0,1.0,3.0
고객식당,식당,한식,갈치조림,3.1,제주도 제주시 이도1동 1436-7 동문시장 내 1층,33.5115818,126.526099,44.0,0.0,100.0,0.0,0.0,100.0,0.0,33.0,67.0,2.0,2.0
풍원,식당,한식,"한라산 볶음밥, 한치주물럭",3.1,제주특별자치도 제주시 우도면 연평리 2427-1,33.508338,126.9441293,28.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,1.0
신설오름,식당,한식,"몸국, 돔베고기",3.0,제주 제주시 일도2동 409-5,33.505459,126.54162990000002,15.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,2.0
우정회센타,식당,한식,"공치김밥, 고등어회",3.0,제주도 서귀포시 서귀동 276-6,33.2493117,126.5631433,52.0,0.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,3.0,0.0
협재칼국수,식당,한식,"보말칼국수, 칼국수",3.0,제주특별자치도 제주시 한림읍 협재리 1908-2,33.3968233,126.2445723,26.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,2.0,1.0
